Log,Exercise Tag,Feeling Tag
i took a strength training class it was painful,strength training,painful
i did the treadmill for 45 minutes it was boring,treadmill,boring
3 sets of 10 pushups i felt exhausted but felt good,pushups,"exhausted, good"
bench press felt like i was struggling but felt a sense of accomplishment immediately after,bench press,"struggling, accomplishment"
i went on a 15 mile bike ride by the beach last week.   i felt exhausted by the end.,bike ride,exhausted
i went on a 8 mile hike to a secret waterfall.  i felt hot and tired but very strong and energized at the same time.,hike,"hot, tired, strong, energized"
i swam two miles. i felt energetic.,swam,energetic
i biked five miles. i felt terrific.,biked,terrific
i did 30 minutes of plank i feel relief and good,plank,"relief, good"
i did 7 sets of push-up i feel tired and drained,push-up,"tired, drained"
i walked 2 miles. i felt relaxed.,walked,relaxed
i played soccer for 20 minutes. i felt exhausted and out of shape.,played soccer,"exhausted, out of shape"
i did 3 sets of bench presses my chest felt activated and sore after,bench presses,"activated, sore"
i did some weighted lunges my thighs and legs were on fire during the workout,weighted lunges,on fire
i walked two miles. my legs were burning.,walked,burning
i did three sets of ten push ups. my arms were very weak and shaky.,push ups,"weak, shaky"
i did cardio on an elleptical it felt great,cardio,great
i lifted weights i felt very strong and powerful,lifted,"strong, powerful"
i just did 5 miles on the rowing machine my arms feel like noodles,rowing machine,noodles
i just did fifty laps in the pool i feel tired but energized,pool,"tired, energized"
i did 30 burpees i was exhausted,burpees,exhausted
i did sit ups felt good about it,sit ups,good
my first workout was an outside run. i felt tired during my run from yesterday's exercise.,run,tired
my second workout was a weightlifting rotation i felt good but i am going to be sore.,weightlifting,"good, sore"
i ran 2 miles on the treadmill i felt exhausted afterwards,ran,exhausted
i did a 1 minute plank i felt shaky after,plank,shaky
3 sets of squat 12 reps each set my legs are trembling,squat,trembling
3 sets of leg press 12 reps each set i felt like i am done for the day,leg press,done for the day
i just did ten pushups. it felt satisfiying doing these pushups.,pushups,satisfiying
i just finished jogging up a hill for five miles. i am exhausted after this jogging.,jogging,exhausted
i did 12 reps of bicep curls. i felt good but sore.,bicep curls,"good, sore"
i did 15 minutes on the exercise bike.  i was energized.,exercise bike,energized
i lifted dumbbells with curls. i felt energized.,lifted,energized
i did jumping jacks for 20 minutes. i felt inefficient.,jumping jacks,inefficient
"i hiked 10 miles up a mountain ridge. i was exhausted, but never felt so alive.",hiked,"exhausted, never felt so alive"
"i swam a few laps in the pool. my arms are weak, but it was so worth it.",swam,weak
i did 100 push ups i feel great,push ups,great
i just did 40 pull ups my arms are tired,pull ups,tired
i did 30 jumping jacks today. my heart is racing!,jumping jacks,racing
i ran 3 laps around my house. i'm completely out of breath!,ran,out of breath
i walked two miles i felt rejuvenated,walked,rejuvenated
i rode bike for three miles i felt sore in my legs,rode bike,sore
i hula hooped or twenty minutes. my sides and my stomach really hurt and i feel tired.,hooped,"hurt, tired"
i did thirty sit-ups today! my back is killing me!,sit-ups,killing
i went for walking very tired,walking,tired
i go for jogging its very tired,jogging,tired
i just did 30 minutes on the elliptical. i feel so tired and sore.,elliptical,"tired, sore"
i just ran 5 miles around the track. i realize that i am out of shape.,ran,out of shape
i walked a circle around downtown. i felt slightly tired and warm.,walked,"tired, warm"
i ran four miles on the treadmill at the gym. i felt exhausted and pushed to my limit.,ran,"exhausted, pushed to my limit"
3 sets of burpees i feel completely spent,burpees,completely spent
i did 20 minutes of cardio i feel like i am short of breath,cardio,short of breath
"i ran two miles on the treadmill i was very tired, but i feel rewarded",ran,"tired, rewarded"
i completed my leg day set of lifts at the gym i feel tired but happy that i worked out,leg day set of lifts,"tired, happy"
i ran five miles. i felt refreshed.,ran,refreshed
i biked for thirty minutes. i felt energized.,biked,energized
i did lunges across the room.   i felt very worked but felt really good,lunges,"worked, really good"
"i ran two miles on the sidewalk today.   i felt good and strong, nice and easy.",ran,"good, strong, nice, easy"
i jogged 3 miles today i am totally wiped out.  i am not in good shape.,jogged,wiped
i hiked up a long trail today. my legs are killing me.  i am tired.,hiked,tired
"i just walked on the elliptical for 30 minutes.  i am tired, but feel great!",walked,"tired, great"
i just walked 2 miles around the neighborhood.  i feel great.,walked,great
i walked 5k i felt great!,walked,great
i climbed stairs 20 times i felt good that i had done it,climbed stairs,good
i speed-walked one mile. i felt invigorated.,speed-walked,invigorated
i jogged through my neighborhood. i felt refreshed.,jogged,refreshed
i ran for two miles. my legs are shaky but i feel good.,ran,"shaky, good"
i swam for two miles. i am completely done with life for the day.,swam,done
yogasanam relax ans calm,yogasanam,"relax, calm"
push ups and dumbless workout make me feel healthy,push ups and dumbless workout,healthy
i will do yoga i feel fresh after my workout.,yoga,fresh
i used to swim in the early morning it was energetic for me.,swim,energetic
i regularly first workout is walking i fell very refresh of my body and mind.,walking,refresh
i regularly second workout is skipping i fell very refresh,skipping,refresh
i will do running it makes me energetic,running,energetic
i will do swimming i feel fresh.,swimming,fresh
first work out running i am hard to work out,running,hard
second workout for dumbell squats i am spend more time,dumbell squats,spend more time
i lifted for 20 minutes strong and happy,lifted,"strong, happy"
i ran for 30 minutes tired by proud,ran,"tired, proud"
i ran three miles. i felt so out of breath!,ran,out of breath
i attended a 45 minute spin class. i felt pumped up and had fun!,spin class,"pumped up, fun"
i just rode a bike for 30 minutes my legs feel like noodles,rode a bike,like noodles
i just finished an hour swim  i feel water logged,swim,water logged
i lifted four sets of shoulder press at the gym today. i felt great during the workout and sore afterwards.,shoulder press,"great, sore"
i ran for 4 and a half miles today. i was exhausted after the run but felt great.,ran,"exhausted, great"
"i just ran 9 miles on the trail. my feet are a little tired, but my calves are shot!",ran,"tired, shot"
"i lifted weights for 30 minutes. my arms are a little sore, but overall i feel pretty good.",lifted weights,"sore, good"
"i took a zumba class this afternoon at a studio.  i felt extremely tired but, i felt good afterwards.",zumba class,"tired, good"
"i went on the treadmill at the gym.  i felt calm but, tired after walking all those steps.",treadmill,"calm, tired"
i went on a 5k run it was refreshing,run,refreshing
i did 20 pushups my arms felt weak,pushups,weak
i did a 20 minute cardio dvd. i felt energized afterwards.,cardio dvd,energized
i did a kickboxing class today. i felt tough after my workout.,kickboxing class,tough
run three miles on track terrible,run,terrible
zumba dance at gym tired and drained,zumba dance,"tired, drained"
early morning first warmup its hardly pain,warmup,hardly pain
second do that squad of pullups its very excitement more than first exercise,pullups,excitement
i did 5 sets of 25 squats my leg muscles are trembling and tired,squats,"trembling, tired"
i jogged 3.5 miles this afternoon i feel energized and hungry now,jogged,"energized, hungry"
i lifted weighs for an hour i felt really spent and needed to relax,lifted,spent
i did 300 crunches my abs felt like they were on fire,crunches,on fire
i did a hot yoga class i felt tired,yoga,tired
i went cycling along the river i felt energized,cycling,energized
i rode my bike for 2 miles today my legs were a little sore,bike,sore
i walked for a mile today i felt good,walked,good
i did 40 sit-ups. i felt light-headed.,sit-ups,light-headed
i did 250 jumping jacks in a few minutes i felt invigorated.,jumping jacks,invigorated
i just rode 10 miles on my bike. i felt alive afterwards,rode,alive
i did 100 crunches in 5 minuets. i felt like my abs were on fire.,crunches,on fire
i ran a 9 mile race today. it felt good.,ran,good
i jumped on the trampoline for 20 minutes. i felt good.,jumped,good
i just boxed 4 rounds on the heavy bag i felt great afterwards,boxed,great
i just ran a mile on the treadmill i feel tired afterwards.,ran,tired
i waiked 9 holes i felt fine,waiked,fine
i walked 18 holes i was tired,walked,tired
i did 30 push ups at home i was really exhausted,push ups,exhausted
i just ride my bicycle for 10 miles my legs are shaking,ride my bicycle,shaking
"i just did ten push ups. it was rough, but tolerable.",push ups,"rough, tolerable"
i just walked in place for an hour. it was easy and pleasant.,walked,pleasant
i completed 5 miles while on the treadmill for 90 minutes today. it was great and i now have more energy!,treadmill,"great, more energy"
i spent 45 minutes lifting weights this morning. i'm tired am keeping my promise to lift weights once per week.,lifting weights,tired
i ran 30 minutes on the treadmill i felt exhausted.,ran,exhausted
i used the strength machines for 30 minutes. my muscles were very sore.,strength machines,sore
i walked for thirty minutes. i felt refreshed and invigorated.,walked,"refreshed, invigorated"
"i swam for thirty minutes. i felt tired and worn out, but good.",swam,"tired, worn out, good"
i just walked briskly with bags of groceries i felt out of breath,walked,out of breath
i just did 50 situps i feel in pain,situps,in pain
i ran 3 miles today. i felt so exhausted1,ran,exhausted
i lifted weights today. i felt really strong.,lifted,strong
i rode my bicycle 10 miles it was great!,bicycle,great
i did 100 sit ups at the gym today it was exhausting!,sit ups,exhausting
held a 3 minute plank my arms are shaky but feeling powerful,plank,"shaky, powerful"
just ran another 10k feeling energized and proud,ran,"energized, proud"
i would run around the soccer field during practice. i felt tired but also excited.,soccer,"tired, excited"
i aimed for better performance than my first workout.  i felt around the same as i did after my first workout.,better performance than my first workout,around the same
i ran five miles. i feel fit.,ran,fit
i biked thirty minutes. i feel revitalized.,biked,revitalized
i did one hour of cardio playing just dance at the gym today. i was totally exhausted by the end of it.,cardio,exhausted
i played a 30 minute basketball game in the backyard. my legs felt like noodles at the end of the game.,basketball game,legs felt like noodles
i lifted weights for 10 minutes. my arms felt sore.,weights,sore
i walked on my treadmill for 20 minutes. i felt like my legs were wobbly.,walked,wobbly
i just walked five miles around my neighborhood. i felt good and healthy.,walked,"good, healthy"
i just did a hour of yoga. i felt peaceful.,yoga,peaceful
i just did 10 push ups  when i was doing the 10 push ups i was having a hard time i felt tired,push ups,"hard time, tired"
i just jogged around the corner  i felt very tired during this exercise,jogged,tired
i did a hour heated yoga class today it was exhausting,heated yoga,exhausting
i boxed for over one hour at the training facility. my muscles are aching,boxed,aching
"i completed a hiit workout. i felt tired about halfway through the workout, but i managed to complete it.",hiit workout,tired
i jogged at the parked for three miles. i felt good once i started to jog and warmed up.,jogged,good
ran three miles  terrible,ran,terrible
three sets of dumbell squats shaky and totally spent,dumbell squats,"shaky, totally spent"
i love jogging  free and relief,jogging,"free, relief"
i feel happy while jogging  i feel fresh,jogging,fresh
"i took a 45-minute walk at the local nature preserve. the first 30 minutes were fine, but i was pretty tired towards the end.",walk,"fine, pretty tired"
i went to the gym and spent an hour using the strength-training machines. i was really sweating by the time i stopped! my muscles are going to be sore tomorrow.,strength-training machines,"really sweating, sore"
track running i feel very good,track running,good
zumba dance i help to free in mind,zumba,free in mind
i did three sets of dumbbell curls. my arms feel stronger.,dumbbell curls,stronger
i did three sets of 10 of bungee jumps. my whole body hurts and is sore.,bungee jumps,"hurts, sore"
i just finished lifting weights upper body workout it felt good,lifting,good
i just finished lifting weights lower body it felt great,lifting,great
i just ran 1 mile. i was exhausted after the run.,ran,exhausted
i did 75 push-ups. my arms are sore.,push-ups,sore
i just played three tennis matches. my legs and arms feel like jelly.,tennis,jelly
i just rode 22 miles on the bike. i am so sore i can't even move.,bike,sore
i just did eight sets of twelve squats. i feel tried and shaky.,squats,"tried, shaky"
i just did four sets of eighty pound curls with my curl bar. i feel obliterated and spent.,curls,"obliterated, spent"
i just biked 9 miles on my peloton i felt invicible!,biked,invicible
i just walked my dog i felt at peace,walked,at peace
i just finished my 30 min run around the park. i feel so tired.,run,tired
i just did 2 sets of 20 push ups. i feel my arms shaking.,push ups,shaking
i bench pressed 120 pounds. i was struggling during the workout to lift the weight.,bench pressed,struggling
i stepped 200 steps on the stair climber. i felt tired and sweaty after my workout,stepped,"tired, sweaty"
i just ran 2 miles. im super psyched for the day.,ran,psyched
i jusy did my first plank my abs are on fire!,plank,fire
i squatted with weights my thigh muscles feel sore,squatted,sore
i ran 1 mile outside i'm breathless from running,ran,breathless
i spend one hour working out at different levels on an elliptical.  i was entertained by youtube during the workout.,elliptical,entertained
i lifted free weights while watching tv. i felt my muscles fatigue after a time.,lifted,fatigue
i went running  i was tired,running,tired
i went for a walk very relaxing,walk,relaxing
i warmup daily one hour its very use ful to our life,warmup,use ful
i take a pullups in everyday its felt to me very excitement,pullups,excitement
i did three sets of bench press. i feel it was too easy.,bench press,easy
i did five sets of squats. my legs feel like jelly.,squats,jelly
i went for a run for about two miles. it was exhausting but it was good for a bit,run,"exhausting, good"
i lifted weights for 2 hours it was awesome,lifted weights,awesome
i ran six miles. i felt terrific.,ran,terrific
i biked thirty minutes. i felt healthy.,biked,healthy
i did the elliptical for 30 minutes i felt energized and good,elliptical,"energized, good"
i did a pilates youtube video was tiring,pilates,tiring
walking in the park i felt excellent,walking,excellent
running in the street i felt exhausted,running,exhausted
i went for a run i felt alright,run,alright
i did pushups i felt like my arms are falling off,pushups,falling off
long ran around three miles on track i feel it was very tough,long ran,very tough
done the dumbell squats three sets i feel very shaky on that time,dumbell squats,very shaky
"we just completed our first hell hike. it was long and hard, but we feel great.",hell hike,great
"we just completed our second hell hike. it was not as bad as the first one, but we have a long way to go. man, we are tired!",hell hike,tired
i rode my bike for 10 miles today on the rail trail. my muscles felt invigorated.,rode my bike,invigorated
i jogged for a mile today. i felt very out-of-breath the whole time.,jogged,out-of-breath
