Log,Exercise Tag,Feeling Tag
i can't believe i started lifting weights again. my arms feel like complete rubber this morning.,lifting weights,complete rubber
i played volleyball for an hour. i felt terrific.,volleyball,terrific
i played softball for three hours. i was exhausting.,softball,exhausting
i just ran three miles it was terrible,ran,terrible
i swam fifteen laps i felt strong,swam,strong
i played a three hour basketball. i felt strong,basketball,strong
i did fifteen push ups i feel great,push ups,great
i squatted 3x8. i felt strong and empowered.,squatted,"strong, empowered"
i went rowing on the erg machine. i felt tired afterwards.,rowing,tired
i just ran five miles it was terrible!,ran,terrible
i swam fifteen push ups i felt great,push ups,great
i walked 2 miles today. i felt great once i got past the first mile.,walked,great
i used the rowing machine at the gym for 30 minutes. my shoulders and back are killing me.,rowing machine,killing me
i just ran for 30 minutes on the treadmill. the joint in my toe is still a little tender.,ran,tender
i lifted weights for about 45 minutes after work. i'm know that i'm going to be sore in the morning due to the holiday break.,weights,sore
i just ran three miles it was terrible,ran,terrible
i swam fifteen laps i felt strong,swam,strong
"i ran two miles with my dog! the dog ran better than i did, i'm so tired, i need to start doing this more often!",ran,tired
"i climbed 3 flights of stairs 3 times back and forth i'm exhausted, i'm going to die given how fast my heart is beating, i need to stop using the elevator - period!",climbed,exhausted
i went for a walk up a large hill i felt out of breath,walk,breath
i ran to the store i felt energized,ran,energized
i played tennis for two hours i felt really tired,tennis,tired
i ran with my girlfriend this afternnon i am very out of shape compared to my girlfriend,ran,out of shape
i just ran with my dog i felt extremely exhausted,ran,exhausted
i just did lunges up a huge hill i felt like my body was giving out on me,lunges,giving out
i ran three laps around the block.  i felt really good with a racing heart and alot of sweat.,ran,good
i did one hundred jumping jacks. i was so tired after doing all of them.,jumping jacks,tired
"endurance, or aerobic these activities increase my breathing and heart rate.",endurance,breathing and heart rate
strength exercises it make my muscles stronger.,strength,muscles stronger
i played an hour table tennis on morning  i felt very energetic,table tennis,energetic
i take pullups 4 set daily i felt very powerful,pullups,powerful
i played basket ball enjoy the game and fitness the body,basket ball,fitness
i did a chest workout in three hours mind relaxation,chest workout,mind relaxation
i walk in morning     i feel refresh,walk,refresh
i do warm up before match   i feel brisk,warm up,brisk
i did three hours walking on the treadmill. i felt exhausted!,walking,exhausted
i used the ab machine and did 10 reps. i feel strong.,ab machine,strong
i skipped 200 times i felt tired,skipped,tired
i did 100 pushups i felt chest pain,pushups,pain
i just walked 2 and a half miles! i feel so refreshed!,walked,refreshed
i just did 25 kettlebell squats. my legs feel weak!,squats,weak
i did one hour of yoga i felt fantastic,yoga,fantastic
i just hiked 4 miles i felt tired,hiked,tired
i rode the spin bike for an hour. i felt great!,spin bike,great
i lifted weights in the gym. i felt like a beast!,lifted,beast
i did 5 sets of squats my legs felt tired,squats,tired
i did the elliptical for 40 minutes i felt sweaty,elliptical,sweaty
i took a brisk walk i felt energized,walk,energized
i took a jog i felt tired.,jog,tired
push ups i felt tired,push ups,tired
i did pull ups i felt energized,pull ups,energized
i did 15 pull-up i felt exhuasted,pull-up,exhuasted
i worked out on the kick-boxing machine i feel strong,kick-boxing,strong
i just did 200 jumping jacks. i felt very worn out afterwards.,jumping jacks,worn out
i just swam two miles. i felt great afterwards.,swam,great
i just biked 4 miles on the stationary bike i felt fairly good although my heart rate didn't come up too much. my rpms were less than i wanted but i didn't need to take any breaks,biked,fairly good
i used the leg press i felt very strong; i was able to increase my weight load up to 130 lbs and keep proper form while doing it slow and controlled,leg press,very strong
i just finished one hour on the treadmill i felt really good and ready for more,treadmill,really good
i did 50 leg presses at 50 pounds i felt proud that i went up 10 presses and 10 more pounds of weight today,leg press,proud
i walked one mile today at the track. my legs are hurting and my calves are tight.,walked,"legs are hurting, calves are tight"
"i walked two miles today, it took me 30 minutes. i am tired, and my calves are hurting.",walked,"tired, calves are hurting"
i walked 5 miles around the park the fresh air was invigorating,walk,invigorating
i ran steps at the stadium my thighs were on fire.,ran,fire
i jogged around my neighborhood today. i felt so much better after,jogged,better
i did yoga from a video on tv. i was so sore from all the stretches,yoga,sore
i did an hour of yoga. i felt loose and relaxed.,yoga,"loose, relaxed"
i did a bunch of jumping jacks. i felt exhausted but accomplished.,jumping jacks,"exhausted, accomplished"
i walked for one hour. i felt dehydrated.,walked,dehydrated
i did 3 sets of 15 hand grip pulls on each hand. i felt like i completed a first step.,hand grip pulls,completed
i shot the basketball for an hour i felt happy,basketball,happy
i did 5 sets on the chest press i felt sore,chest press,sore
i ran for one minute i felt great!,ran,great
i jogged for 10 minutes it was exhausting,jogged,exhausting
i worked my back muscles for 20 minutes today.  i feel sore.,worked my back muscles,sore
i jogged 2 miles around the lake.  i feel good!,jogged,good
i went on the elliptical for 30 minutes i felt great,elliptical,great
i performed 20 squats with dumbells my legs are sore,squat,sore
i just did a 40-minute yoga session. it was wonderful!,yoga,wonderful
i just did 50 snatches with a 20 lb. kettlebell. i feel alive!,snatches,alive
"when i first start working out i do a lot of cardio and dance fitness and make sure i drink plenty of water i felt great, it definitely helps wake me up and gets me energized",dance fitness,great
i continue with cardio and dance fitness for at least a couple of weeks before i start adding in weights and weigh lifting i felt even better and still accomplished a lot of housework and such because i had a lot of energy after,dance fitness,"better, energy"
i did 25 push ups my arms were very tired after doing the push ups,push ups,tired
i ran 2 miles at the track i was having trouble keeping a constant speed throughout the run,ran,trouble
i played basketball for an hour i was very tired,basketball,tired
i lifted weights for an hour and a half my arms were sore,lifted,sore
i ran on the elliptical machine for 30 minutes. i feel great!,ran,great
i did stretching exercises for fifteen minutes. i feel prepared for a longer workout.,stretching,prepared
30 minute run.   harder than expected,run,harder
zumba for 6 hours ligt on my feet,zumba,ligt
my first workout was kettle bell swings i felt i was going to die during my kettlebell routine,kettle bell swings,going to die
my second workout was kettle squats i felt that my legs were going to fall off,kettle squats,my legs were going to fall off
i jogged on my treadmill a little over 30 minutes i was more winded than usually.,jogged,winded
i weight trained for about an hour. i might need to hold back on the leg workouts. my glutes are sorer than usual.,weight trained,sorer
i just sprinted a mile. i feel exhausted!,sprinted,exhausted
i just played a one hour game of volleyball. i feel energized!,volleyball,energized
i walked 60 minutes i feel energized,walked,energized
i just finished yoga class i'm exhausted,yoga,exhausted
i ran 5 miles on an indoor track my right knee is sore,ran,sore
i did crunches on an exercise ball i felt energized,crunches,energized
i lifted weights i felt weak,lifted,weak
i did some stretching exercises i feel more limber,stretching,limber
i just walked 4 blocks  i felt exhausted,walked,exhausted
i swimmed the whole pool i felt energized,swimmed,energized
"i jogged two miles i felt ok, two miles isn't too far",jogged,ok
"i tried to run a 10k i felt exhausted, i used to be in much better shape",run,exhausted
i did yoga for an hour. i feel loosened up.,yoga,loosened up
i rode a bike for 2 hours. i feel exhausted.,rode a bike,exhausted
situps tired,situps,tired
pushups exausted,pushups,exausted
i walked 4 miles. i feel energized!,walked,energized
i climbed 7 flights of stairs. i feel winded.,stairs,winded
"i just spent one hour in a yoga class i felt a bit intimidated at first because this was my first class. however, at the end i felt great.",yoga class,great
i took a 30 minute kick-boxing class. i felt good but exhausted.,kick-boxing class,"good, exhausted"
i ran three miles. i am winded.,ran,winded
i did twenty push ups. my muscles are sore.,push ups,sore
walk around the block every other day very good,walk,very good
10 push ups a day great,push ups,great
i ride my bike for 1 hour. i felt so tired.,ride,tired
i did 30 push ups today. i felt exhausted.,push ups,exhausted
i did 30 minutes of aerobics i felt exhausted,aerobics,exhausted
i lifted weights i felt sore,lifted,sore
i walk thirty minutes a night. i felt more happier after workout.,walk,happier
i exercised on an exercise bike. i felt more energetic.,exercise bike,energetic
i ran for 45 minutes on the treadmill. i felt so tired and out of shape.,ran,"tired, out of shape"
i lifted weights. i felt so weak.,lifted weights,weak
i ran on the treadmill  i was tired,ran,tired
i did yoga on youtube it was calming but challenging,yoga,calming
jogging  felt better and satisfied,jogging,"better, satisfied"
bicycling fun and satisfied,bicycling,"fun, satisfied"
i just did a flexibility training  it was awesome,flexibility training,awesome
i just did some yoga exercise  it was very challenging,yoga exercise,challenging
push ups felt terrible,push ups,terrible
pull ups felt like death,pull ups,death
i did some weight lifting cable machines. i felt good it made me work up a sweat.,weight lifting,felt good
i did a treadmill run. i felt good going in to the jog. it was an augmented reality treadmill.,run,felt good
i went rollerblading by the river my leg were on fire after this workout,rollerblading,leg were on fire
i went jogging around the block i felt like my legs were jello,jogging,legs were jello
i climb 700 steps on the stair climber. i was exhausted after i completed.,climb,exhausted
i ran 1 mile on the treadmill. i felt exhilerated during my run.,ran,exhilerated
i biked one hour my legs hurt a lot!,biked,hurt
i played squash for 30min i felt great but my shoulders are sore,squash,sore
i ran 3 miles on the treadmil. i am so out of shape and out of breath.,ran,"out of shape, out of breath"
i completed one video workout.  it felt really good to work up a sweat.,video workout,good
the first time i went for exercise i just did few push ups.  i felt really good after that workout and then decided to go to gym at least three times a week.,pushups,good
my second workout was running and just running nothing else.  my legs were sore but still i loved it,running,"sore, loved"
i just did my first kickboxing workout. my legs feel like tree trunks.,kickboxing,feel like tree trunks
i just pitched 9 innings. my arm feels like jelly.,pitched,jelly
"i ran 4 miles. i felt broken, my knees hurt.",ran,"broken, hurt"
i lifted weights for 45 minutes. i felt like i had a lot of strength,lifted,strength
i ran for 2 hours on a treadmil i am happy but very tired and my legs really hurt,ran,"happy, tired"
my workout consisted of 12 pull ups i feel wonderful but i am not don yet i have to reach my goal,pull ups,feel wonderful
i just did yoga. i feel relaxed.,yoga,relaxed
i used my elliptical i feel like i got a good leg workout in.,elliptical,good leg workout
i did one hundred pushups. my arms hurt.,pushups,hurt
i lifted weights. i feel so muscular.,weights,muscular
i walked two and a half miles. i fell more freshened.,walked,freshened
i did 15 situps. i feel tired.,situps,tired
just took a long walk in the neighborhood i am finally able to get out and exercise again.  i feel invigorated!,walk,invigorated
i went for a leisurely bike ride. it feels good to be able to ride again.,bike,good
i did 1 minute of push ups stomach burns,push ups,burns
i ran for 10 minutes feeling dizzy,ran,dizzy
walked 2 miles i am tired,walked,tired
just biked 3 miles i am sore,biked,sore
"i tried to run 3.5 miles in the humidity, yesterday. i felt like i was running in soup and couldn’t catch my breath.",run,couldn’t catch my breath
i walked 3.8 miles on tuesday with virginia. i felt great because we took in slower in the heat.,walked,felt great
i hiked 2 miles in the woods. i felt rejuvenated,hiked,rejuvenated
i played tennis for an hour. i am not good at tennis.,tennis,not good
i ran five miles. i felt energized.,ran,energized
i did 30 minutes of high intensity training. i felt full of energy.,high intensity training,full of energy
i danced actively for 35 minutes i felt full of energy and positive,danced,"full of energy, positive"
i did squats for 7 minutes i felt incredibly tired and shaky at the end,squats,"tired, shaky"
i squatted for the first time today. i felt exhausted after squatting.,squatted,exhausted
i lunged with dumbbells. i felt out of shape.,lunged,out of shape
i walked 2 miles i felt like i accomplished something.,walked,accomplished
i lifted weights i felt tired but happy.,lifted,"tired, happy"
played full court basketball i   am quite tired,basketball,tired
i   did interval workouts i'm exhausted and sore,interval workouts,"exhausted, sore"
i did 200 sit ups my stomach was so sore.,sit up,sore
i ran on the treadmill for 1 hour. i was exhausted and my clothes were drenched with sweat.,ran,exhausted
i completed 25 deadlifts. i feel really tough.,deadlifts,tough
i did 25 burpees. i feel winded.,burpees,winded
i rode my bike for 10 minutes i was excited,rode,excited
i swam in my pool for 20 minutes i was tired.,swam,tired
i walked 30 minutes on the treadmill. i felt tired after the workout.,walked,tired
i walked 60 minutes today. i felt energized after my walk.,walked,energized
i just ran 2 miles i am absolutely drained,ran,drained
i just did 100 push ups my arms and chest are in pain,push ups,pain
i completed a high intensity interval workout. i felt tired.,high intensity interval workout,tired
i completed a spin workout.  i felt very motivated.,spin workout,motivated
"i did an interval workout with one minute of jump rope and one minute of planks alternating for 13 minutes.  it was not hard enough, i felt like i still had energy.",jump rope,energy
i did 10 minutes on the stationary bike.  i felt like my legs were jelly and were weak.,bike,weak
i ran a 5k. i felt recharged!,ran,recharged
i just kayaked for 5 hours.  i feel sore.,kayaked,sore
i did 50 squats. i feel shaky and out of breath.,squats,"shaky, out of breath"
i did 40 hip thrusts. i feel powerful.,hip thrusts,powerful
walking inside the building i feel energized when walking,walking,energized
weight lifting is good for the health it gives more strength on my overall body,weight lifting,strength
"i walked in place at a comfortable pace for seven minuites. as i was walking, i could feel that i was breathing slightly harder, but i was comfortable.",walked,"breathing slightly harder, comfortable"
"i alternately touched my toes with opposite hands twenty times on each side. when i was doing this exercise i began to feel winded, and a bit stressed.",touched my toes,"winded, stressed"
i rode my bike for ten miles. i feel exhilerated.,rode,exhilerated
i jogged for three miles. i feel strong.,jogged,strong
i lifted weights. i felt like giving up but in the end i was proud of myself.,lifted,proud
i used a row machine. i felt out of breath.,row machine,out of breath
i did elliptical cardio at the gym for 30 minutes i felt a lot refreshed and more energetic,elliptical cardio,"refreshed, more energetic"
i did walk for about 45 minutes great...as my doctor said to walk for atleast 45 minutes a day...i felt less guilty,walk,less guilty
i rode a bicycle for 30 minutes  my leg ache alot,rode,ache alot
i did 50 push ups i really feel strong,push ups,strong
i did 30 mins of belly dancing. i felt exhilarated and sexy.,belly dancing,"exhilarated, sexy"
i did lower abdominal workout . i felt really tired afterwards,abdominal workout,tired
i just hiked 2  and a half miles i feel refreshed,hiked,refreshed
i just biked nine miles i feel great,biked,great
i just did 45 burpees i felt out of breath.,burpees,out of breath
i just did 3 sets of doing mountain climbers for 60 seconds each i'm already sweating!,mountain climbers,sweating!
i started doing speed walking. exhausted and sore,speed walking,"exhausted, sore"
"speed walking a mile in under 20 min. i was so exhausted, hot and sore.",speed walking,"exhausted, hot, sore."
i just cycled 2 miles i felt energized,cycled,energized
i swam 2 laps i was ecstatic after swimming,swam,ecstatic
"20 minutes of intense cardio  felt like dying, out of breathe!",intense cardio,"dying, out of breath"
"incline walking for 15 minutes i cannot feel my legs, great workout!",incline walking,great workout
i walked for 50 minutes. i feel good.,walked,good
i played badminton for 30 minutes.  i feel tired but happy to get my workout in.,played badminton,"tired, happy"
i hiked with my dog. i felt refreshed.,hiked,refreshed
i ran for a few blocks. i was exhausted.,ran,exhausted
i rode my bike 8 miles it was exhilerating,bike,exhilerating
i went jogging i hated it,jogging,hated
i walked on the treadmill for an hour.  i felt tired afterward.,walked,tired
i did ten jumping jacks. i felt out of breath afterward.,jumping jacks,out of breath
i worked out on the elliptical for 50 minutes. it was hard work but very energizing.,elliptical,energizing
i was only able to complete 1 mile on the stationary bike. i felt weak and like a failure because i didn't complete my goal.,stationary bike,weak
i ran on the treadmill for an hour. my legs are hurting so bad.,ran,hurting so bad
i played two games of half-court basketball. i feel great and need to play more often.,played,great
i did 30 push ups i felt fulfilled,push ups,"fulfilled, tired"
i ran 5 miles  tired but felt good,ran,good
"i took a brisk walk around the park warmed up, a little hot, loose.",brisk walk,warmed up
i lifted weights and used the bench press. worn out but satisfied.,lifted weights,satisfied
"i worked out on my treadmill downstairs for 30 minutes, while watching young and the restless.   while working out i felt tired but afterwards i felt i did a great job, and i felt much better moodwise.",treadmill,tired
"my dogs love to go for walks, so taking them outside for a 2 mile walk is good for mental health reasons and physically. i felt joyful and inspired while walking with my dogs outside, being with nature, saying hello to people, it was amazing.",walks,inspired
i rode my bike two miles. my legs were so sore after,rode,sore
"i swam 30 laps. i felt great, ready to start my day!",swam,"great, ready"
i jogged 1 mile i felt out of breath,jogged,out of breath
i bicycled for 2 miles i felt winded,bicycled,winded
i played tennis for an hour. i feel invigorated.,tennis,invigorated
i walked three miles i feel tired,walked,tired
i biked 6 miles. i was exhausted!,biked,exhausted
i did 100 situps.  my abs felt sore.,situps,sore
i did squats with my bodyweight my legs aren't strong enough,squats,aren't strong
i did arm curls with 20 pounds my arms are very strong,arm curls,strong
i walked around the track. i was out of breath,walked,out of breath
i did 10 squats my legs felt like noodles,squats,felt like noodles
i did 10 pushups. i felt intense.,pushups,intense
i did 12 jumping jacks. i felt energetic.,jumping jacks,energetic
i like to do pushups on knuckles in basement it makes you feel exhilarated in the morning.,pushups,exhilarated
i like long hikes in the woods with my dog. these make me feel refreshed and help unwind.,hikes,"refreshed, unwind"
i just swam ten laps i feel great,swam,great
i just do 10 min high plank i feel so tired,high plank,tired
i ran four miles. i felt in tip top shape.,ran,tip top shape
i swam for 30 minutes. i felt bursting with energy.,swam,bursting with energy
i did 10 planks for 15 seconds each. i felt sore.,planks,sore
i did 20 sit ups.  i felt out of shape.,sit ups,out of shape
i just spent an hour doing yoga. i felt relaxed and at peace.,yoga,"relaxed, peace"
i ran a half marathon. i felt very tired.,ran,tired
i did cyclic exercises for 15 minutes i felt like my legs were more limber,cyclic,limber
i did stretching exercises for 15 mintes i felt more relaxed after this workout,stretching,relaxed
i did 50 squats my legs felt very tired,squats,tired
i did 50 sit-ups i need to start doing more core workouts!,sit-ups,start doing more
i just did a hundred jumping jacks. i think i can do another hundred.,jumping jacks,can do another hundred
i just ran up 30 flights of stairs. i feel wiped out.,ran,wiped out
i just did 50 leg lunges per leg! my legs feel like jello.,leg lunges,jello
"i just hiked 7 miles, uphill, one way! i feel amazing!",hiked,amazing
i walked my dog around the block. it was refreshing.,walk,refreshing
i played a game of basketball with my friends. i'm so tired.,basketball,tired
i did a 30 upper body weightlifting routine i felt like i am making good progeres,upper body weightlifting,making good progeres
i did a 60 minute cardio kickboxing workout i really need to work on flexibility/mobility!,cardio kickboxing,need to work
i jogged for thirty minutes i felt great,jogged,great
"i lifted weights for 45 minutes i felt exhausted, i'm out of shape",lifted weights,"exhausted, out of shape"
i walked a mile. i felt winded.,walked,winded
i jumped rope for ten minutes. i felt invigorated.,jumped,invigorated
i jump-roped for twenty minutes. i am winded!,jump-roped,winded
i ran a mile in 10 minutes. i am feeling pumped!,ran,pumped
i walked 3 miles after work i broke a sweat and felt good,walked,good
i lifted weights for an hour i felt pumped up.,lifted,pumped
i took a water aerobics class. i feel exhausted.,water aerobics class,exhausted
i walked a mile. my hips are sore.,walked,sore
i just ran 6 miles! i felt like i was dying.,ran,dying
i just bicycled for 2 miles. my legs feel like jelly.,bicycled,like jelly
i did 100 situps i felt accomplished.,situps,accomplished
i swam 50 laps  i felt refreshed.,swam,refreshed
i've done fifty push-ups i felt really exhausted,push-ups,exhausted
i've done 100 squats my legs are burning,squats,legs are burning
i just did 30 yoga poses. i felt relaxed and focused after completing all of the poses.,yoga,"relaxed, focused"
"i just finished a one hour water aerobics class. i felt light, like all the pressure was taken off my body during the session.",aerobics,light
i jogged 3 miles.  i felt out of breath.,jogged,out of breath
i spent an hour doing zumba.  i was ready to do more.,zumba,ready
i ran 5 miles. i felt so exhausted.,ran,exhausted
i did a leg workout. my body is shaking.,leg workout,shaking
i did thirty minutes of yoga i feel so relaxed,yoga,relaxed
i walked 3 miles on the elliptical my legs are sore,elliptical,sore
"i did a yoga class for almost 2 hours. i felt relaxed, proud and capable.",yoga class,"relaxed, proud, capable"
i did 50 jumping jacks. i felt tired and out of breath.,jumping jacks,"tired, out of breath"
i did karate for one hour i felt like i was having fun,karate,fun
"i did cardio kickboxing for one hour it was hard, but i felt good doing it",kickboxing,"hard, good"
i just walked 2 laps around the teack. i felt tired.,walked,tired
i did upper arm exercises.  i felt good that i was making progress.,upper arm exercises,felt good
i did 25 pushups. my arms feel like noodles.,pushups,feel like noodles
i just ran a 100 meter race. i cannot feel my legs.,ran,cannot feel my legs
walked on treadmill i'm tired and need to walk more,walked,tired
rode a bicycle i'm so out of breathe,rode,out of breathe
i just hiked one mile. i feel energized.,hiked,energized
i just did three pull-ups. my left shoulder started hurting again.,pull-ups,hurting
i did 30 minutes of wii fit exercise. i was very tired when i was done.,wii fit,tired
i walked up the stairs to work. my legs are exhausted.,stairs,exhausted
60 minute yoga it was very enlightening,yoga,enlightening
boxing with gym bag it was exhausting,boxing,exhausting
i ran for 30 minutes on the treadmill. winded and out of breath,ran,"winded, out of breath"
i curled dumbells for 30 repetitions muscle fatigued,curled,fatigued
i lifted weights for one hour. i felt weak.,lifted,weak
i ran for 30 minutes. i felt fast.,ran,fast
i went jogging on the park trail. i felt tired.,jogging,tired
i went bowling. i felt happy.,bowling,happy
i squatted for 20 minutes i was exhausted afterwards,squatted,exhausted
i cycled for 3 miles i felt refreshed after,cycled,refreshed
"i bench pressed 190 lbs 5 sets 5 reps. the last set was tough, but i endured.",bench pressed,endured
"i rode a stationary bike 10.55 miles twice. a little stiff and sore, but felt exuberant when i completed the rides.",rode,exuberant
"walked for an hour i felt good, but also sweaty",walked,"good, sweaty"
i did some arm exercises my arms were a little tired afterwards.,arm,tired
i walked for one mile. i felt invigorated!,walked,invigorated
i played basketball for one hour. i was very winded!,basketball,winded
i walked for 30 minutes i felt refreshed after the walking.,walked,refreshed
"i did a series of exercises including push-ups and sit-ups while i am glad to do it, the exercises made me tired.",push-ups,tired
i went for a bike ride felt like a kid again,ride,kid
i lifted free weights felt like i could add more weights,lifted,add
i attended a spin class my legs are sore,spin class,sore
i used the rowing machine for 30 minutes  i feel energized,rowing machine,energized
i just ran 3 miles today. i feel accomplished but exhausted.,ran,"accomplished, exhausted"
i lifted weights at the gym today. my arms are so sore today.,lifted,sore
i just did heavy back squats. i was struggling to hit 80% of my max.,squats,struggling
"i did crossfit workout ""fran"". i felt great after the workout!",crossfit,great
i performed 50 back squats today. my legs are really tired and sore.,back squats,"tired, sore"
i did 5 sets of 5 on the bench press at a light weight. it felt good.  i could have gone heavier.,bench press,good
i rode bike 6 miles i feel a little tired,rode,little tired
i walked on treadmill 30 minutes i feel very satisfied,walked,i feel very satisfied
i practiced downward dog yoga pose. i have more work to do.,downward dog,more work to do
i biked for 20 minutes on the stationary bike. my legs are on fire!,biked,legs are on fire
i did twenty jumping jacks. i feel energized!,jumping jacks,energized
i did ten squats. i feel more relaxed.,squats,relaxed
i walked 3 miles. i felt great.,walked,great
i did 25 situps. i felt tired and in pain.,situps,"tired, pain"
i went out and did a numerous amount of burpies.  now am extremely sore and regretting that decision.,burpies,sore
went out shooting some hoops with friends. need to really work on my shot.,shooting,work
i swam laps in the pool dizzy during and after,swam,dizzy
brisk walking energized,walking,energized
"i bench pressed. i felt adrenaline, exhaustion, and motivation during the workout.",bench pressed,"adrenaline, exhaustion, motivation"
"i ran on a treadmill. i felt miserable, monotonous, and always unfulfilled during the exercise.",ran,"miserable, monotonous, unfulfilled"
i jumped rope for five minutes. it felt good!,jumped,good
i walked one mile. my legs are too weak!,walked,weak
i bench pressed for 5 sets of 5 seps my arm were tired,bench pressed,tired
i did 100 pull ups  i felt like my back was going to explode,pull ups,explode
i rode a recumbent bike for an hour. i feel exhilarated!,recumbent bike,exhilarated
i walked two miles. i am wore out!,walked,wore out
i just ran a mile.  i feel tired.,ran,tired
i just lifted weights i feel stronger,weights,stronger
i just walk 30 minutes i felt great.,walk,great
i just do yoga. i felt fabulous,yoga,fabulous
"doing jumping jacks it felt very intense and tiring during the excercise, but very relaxing afterwards",jumping jacks,"intense, tiring, relaxing"
push up exercise felt like i was going to stop breathing during the excercise,push up,stop breathing
i walked 1 mile outside. it felt good to walk a mile. i felt proud of myself.,walked,"good, proud"
watching a 30 minute workout video i felt tired after completing the video but proud of myself.,workout video,"tired, proud"
i just did 10 burpees i nearly passed out,burpee,nearly passed out
i just did 10 suicides that was the hardest ever,suicides,the hardest ever
i just bench pressed for five sets. it was tiring.,bench pressed,tiring
i just squatted for five sets. i felt accomplished.,squatted,accomplished
i just ran 5 kilometers i was really out of breath.,ran,out of breath
i completed 3 sets of 10 reps bench press i need to practice my form more,bench press,practice
i attended two one-hour dance classes. i felt empowered.,dance class,empowered
i took a 45-minute cycling class. it was very difficult.,cycling class,difficult
i did 60 squats it hurt my legs,squats,hurt
i power walked for 30 minutes i felt refreshed and rejuvenated,walked,"refreshed, rejuvenated"
i walked two miles. i felt energized.,walked,energized
i did 50 sit ups and 50 leg cruches i felt tired and worn out.,did,tired
i just finished a bench press my elbows were sore.,bench press,sore
i just completed situps.  i have a weak core.,situps,weak
i walked three miles. i felt tired.,walked,tired
i did squats. i feel sore.,squats,sore
i ran 4 miles today. it was a hard 4 miles i was dragging all the way through.,ran,"hard, dragging"
i ran 3 miles today. it was amazing run the sun was shining and my legs were just moving on there own!,ran,amazing
i just ran about a mile it was hard but rewarding,ran,"hard, rewarding"
i did 15 pushups i felt worn out,pushups,worn out
squats with weights very tired after workout,squats,very tired
i did some jump rope it was very difficult,jump rope,very difficult
"i walked 14 miles outside in the park. i enjoyed being outside, but by the end, i was exhausted",walked,"enjoyed, exhausted"
i lifted back and biceps at home today it ws intense but fun,lifted,"intense, fun"
i did an hour of zumba today i felt motivated,zumba,motivated
i went spinning for half an hour today i feel determined to make a habit of it,spinning,determined
today i ran 1 mile. i feel accomplished,ran,accomplished
i did aerobics for 1 hour i feel healthy,aerobics,healthy
i rode a stationary bike for 60 minutes. i was exhausted.,stationary bike,exhausted
i completed 100 squats. i felt invigorated.,squats,invigorated
i worked out on the elliptical machine for 20 minutes.  i felt like i was being stretched on the rack!,elliptical machine,stretched
i ran on the treadmill for 5 miles. i felt exhausted!,ran,exhausted
i danced for 30 mins. feeling very worn out.,danced,worn out
i power walked for 40 mins. i felt really energized.,power walked,energized
i ran on the treadmill for 60 minutes  i felt very tired,ran,very tired
i lifted weights for 30 minutes  i felt strong,lifted,strong
i just did 20 situps! i felt accomplished.,situps,accomplished
i just jogged 10 miles! i felt tired.,jogged,tired
i ran for 30 minutes i felt tired in the beginning but energized in the end,ran,"tired, energized"
i did three reps of 15 sit ups my abs were on fire.,sit ups,on fire
i did 3 sets of 20 sit ups i felt really out of shape,sit ups,out of shape
i ran on the treadmill for 45 minutes straight i felt really tired but happy,ran,"tired, happy"
i went for a brisk jog. i realized how low my cardiovascular endurance is.,jog,"low, cardiovascular endurance"
i played some basketball today. i felt stiff and lacking coordination.,basketball,"stiff, lacking coordination"
i did 1 minute of pull-ups i felt like i could go a 30 seconds more,pull-ups,i could go a 30 seconds more
"i walked along a balance beam back and fortj i felt firm and loose, and determined to maintain my balance.",balance beam,"firm, loose, determined"
i played tennis for 45 minutes. i feel energized but i might be sore tomorrow.,tennis,"energized, sore"
i ran 4 miles at the gym on the treadmill. i feel good right now.,ran,good
i used the elipitical. i was bored.,elipitical,bored
i lifted weights. my arms are sore.,lifted,sore
i walked two miles. i felt energized!,walked,energized
i bench pressed 100lbs 10 times. my muscles started to sting!,bench pressed,sting
i did 100 situps. i could really feel the burn.,situps,burn
i did a 1 hour zumba class today. i felt very tired and sweaty.,zumba,"tired, sweaty"
"""i just spent twenty minutes on the elliptical."" ""i feel energized!""",elliptical,energized
"""i held a floor plank for a minute and a half"" ""my core muscles are feeling strong!""",floor plank,strong
i did pilates for 20 minutes i felt great,pilates,great
i did yoga for 22 minutes i felt more flexible,yoga,flexible
i completed six sets of deadlifts i felt exhausted after completing my sets.,deadlifts,exhausted
i did 10 pull ups  i feel like i can not breath,pull ups,can not breath
i did yoga for a hour i felt great after the workout,yoga,great
i ran for a hour i felt very tired.,ran,very tired
i just speed walked five miles. i felt exhausted but energized.,walked,"exhausted, energized"
i played doubles tennis for 45 minutes i felt exhausted but tough.,tennis,"exhausted, tough"
i ran for 30 minutes i felt great,ran,great
i lifted for an hour i felt like an athlete,lifted,like an athlete
i just did 3 sets on the bench press. i am weak.,bench press,weak
i just did 10 minutes on the bicycle. my legs feel good.,bicycle,good
i just cycled for an hour. i felt sore after the exercise.,cycled,sore
i did some weightlifting for thirty minutes. my upper body was very tired.,weightlifting,tired
i stretched my legs on the rowing machine. i felt worn out!,rowing machine,worn out
i lifted 15 pounds over my shoulders. i felt so tired!,lifted,tired
i just did 30 push ups im really sore now,push ups,sore
i just ran a 5k my legs are tired now,ran,tired
i scored 75 runs in cricket  i felt awesome,cricket,awesome
i workout karate in black belt  my muscles getting strong,karate,strong
i biked 5 miles. i felt excited.,biked,excited
i swam 2 miles. i felt energized.,swam,energized
i ran a 5k i felt healthy,ran,healthy
